Aguanueva,Concepcion,Grunidora,Loreto,Ojocaliente,Pinos,SanPedro,VillaDeCos,VillaGarcia,,Cluster I Semi-arid,,Excamé,Villita,Téul,Tlaltenango,,Cluster II Canyons,,,Bufa,Calera,Cazadero,Chalchihuites,Sauz,Fresnillo,Jerez,Jiménez,Chique,Santa Rosa,Trancoso,Villanueva,Zacatecas,,Cluster III Highlands,,,Florida,Monte Escobedo,Platanito,Juchipila,,Cluster IV Mountains
0.138992404,-0.186745867,0.632875201,1.004133181,1.048256803,1.984974494,0.752530903,2.36776351,0.614517531,,0.9286,,0.455294197,2.379488963,1.210369695,2.54686291,,1.6480,,,-1.391602942,0.067364354,0.526364759,0.974771699,0.272367994,0.754530154,1.023479823,0.523489015,1.368140847,0.607874011,1.286902607,1.642337572,-0.012538128,,0.5880,,,1.05593567,0.546735316,0.219593195,0.219593195,,0.5105
-0.100002912,-0.169274305,0.603663486,1.337716277,1.560792742,1.636114768,0.735263177,2.308986356,0.65178648,,0.9517,,-0.020015712,2.881083187,1.089840989,2.727062059,,1.6695,,,-1.293602774,-0.086687287,0.375403907,0.843456357,0.111203242,0.767524215,0.672750851,0.442982395,0.986200065,1.210914209,1.018759739,1.514276552,0.02549359,,0.5068,,,1.12144447,0.579348379,-0.14999853,-0.14999853,,0.3502
-0.076347984,-0.013050263,0.631314225,1.402415779,1.653479618,1.640513914,0.717518259,2.28050153,0.826178836,,1.0069,,0.031385223,2.926428566,1.116811976,2.37290418,,1.6119,,,-1.277706067,-0.104764795,0.406105648,0.848160519,0.210190216,0.810268189,0.59415734,0.517458481,1.121337316,1.294821918,1.077175254,1.764295963,0.131000288,,0.5687,,,1.12693898,0.612184163,-0.010238218,-0.010238218,,0.4297
-0.016753121,0.030682141,0.605574716,1.443098758,1.677303992,1.732269795,0.73785065,2.375944495,0.913747229,,1.0555,,0.07283623,2.989006977,1.145700936,2.413883604,,1.6554,,,-1.253783557,-0.05572074,0.564533857,0.847945513,0.226994622,0.830791975,0.612130228,0.598412408,1.19589285,1.268735608,1.160649163,1.780241728,0.143866211,,0.6093,,,1.321049966,0.627675761,0.239209865,0.239209865,,0.6068
-0.126006874,0.034204184,0.316848346,0.938325375,1.665436662,1.322103241,0.580573832,2.107617585,0.450200291,,0.8099,,0.069385323,2.737862935,1.102585478,2.202744801,,1.5281,,,-1.398961027,-0.869142416,0.493295547,0.522036725,0.179894094,0.35210872,0.517105481,0.619698211,1.124369628,0.956997198,0.998592901,1.324949025,-0.052687237,,0.3668,,,1.022514099,0.119108696,0.099491312,0.099491312,,0.3352
-0.090117019,0.067589225,0.480538707,0.98346632,1.638286404,1.367796292,0.631865051,2.043018607,0.414943826,,0.8375,,0.189402808,2.811652486,1.284835894,2.364784069,,1.6627,,,-1.402109244,-0.699334489,0.565732529,0.534831169,0.17986398,0.360504069,0.541905525,0.610341741,1.376941972,1.007108191,0.950849922,1.390040263,-0.033542811,,0.4141,,,1.131719489,0.266446557,0.248359488,0.248359488,,0.4737
0.221961862,0.474068193,0.675297672,1.547796231,1.884213045,1.567444985,0.967661118,1.973110469,0.147843318,,1.0510,,0.674412385,3.180739992,1.220431242,2.705581946,,1.9453,,,-1.286388876,-0.212332584,0.864047352,0.731424216,0.578691308,0.912756816,1.132842593,0.605717821,1.946369623,0.960634454,1.392454787,1.731080511,0.292867555,,0.7423,,,1.636136909,0.890396784,1.040551477,1.040551477,,1.1519
0.253376504,1.087337808,0.777808951,1.324492441,1.880170362,1.553116096,1.058617929,1.987925144,0.129321269,,1.1169,,0.675403472,3.216895596,1.179646038,2.658171078,,1.9325,,,-1.297658627,-0.171882838,0.911470193,0.820838561,0.62392352,0.958326172,1.128688877,0.599778522,1.890226016,0.980165735,1.461325452,1.712804749,0.29470499,,0.7625,,,1.620290733,0.860149176,1.043294855,1.043294855,,1.1418
0.188734301,1.377406393,0.753212923,1.158656712,1.691411479,1.407247473,0.904606256,2.124753741,-0.100202631,,1.0562,,0.490752625,2.972368328,1.003724441,2.483464574,,1.7376,,,-1.440023592,-0.230264858,0.818167005,0.561335433,0.604291034,0.955288314,0.936796285,0.60093426,1.561200041,0.962161869,0.903505318,1.504594306,0.026737968,,0.5973,,,1.549536207,0.798510205,0.987087447,0.987087447,,1.0806
0.354785103,1.844993633,0.864537616,0.622062381,1.582594825,1.049435207,0.668448221,1.937187214,-0.208158841,,0.9684,,0.176519001,2.669966315,0.357516675,1.699604946,,1.2259,,,-1.524557552,-0.079612888,0.796295058,0.153786131,0.30502707,0.908700164,0.789702428,0.506727665,1.917382823,0.655605331,1.272026315,1.441400258,0.703430472,,0.6035,,,1.224368044,0.777029402,0.801622476,0.801622476,,0.9012
0.610372214,2.087355545,0.850502265,0.747632176,2.112206266,0.939983564,1.433798219,2.196640798,0.062524694,,1.2268,,1.030190958,2.761688767,0.549679055,1.103495372,,1.3613,,,-1.748298714,0.468662203,1.204721245,0.709910432,0.767922976,1.226487664,0.978964766,0.114475078,1.589866268,0.839263401,1.450077612,1.435459758,0.971130583,,0.7699,,,1.992507573,0.673446035,1.642671845,1.642671845,,1.4878
0.536011225,2.427498239,1.022919803,0.284225364,1.658718971,0.316386838,0.541097428,1.701647034,-0.427324972,,0.8957,,0.641431454,2.274982095,-0.083858119,-0.138752664,,0.6735,,,-1.781076484,1.560027576,0.674080814,0.660174348,0.265705319,0.717364366,0.852783951,-0.288089755,0.605484356,0.097970074,1.011153946,1.177900975,0.904675049,,0.4968,,,1.337733218,0.748479538,1.16975481,1.16975481,,1.1064
